step	idx	score	x	y	w	h	class
86	2	0.8587	16.65	0.14	2.80	1.09	0
86	3	0.3337	38.54	0.26	2.37	0.94	0
87	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
87	1	0.8591	16.59	0.11	2.79	1.08	0
87	2	0.3131	39.54	0.26	2.40	0.95	0
88	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
88	1	0.9974	-32.00	-40.00	0.00	-0.00	0
88	2	0.8263	16.76	0.10	2.80	1.08	0
88	3	0.4124	38.50	0.18	2.41	0.96	0
89	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
89	1	0.9968	-32.00	-40.00	0.00	-0.00	0
89	2	0.8549	16.63	0.09	2.79	1.08	0
89	3	0.3357	38.49	0.13	2.39	0.95	0
90	0	0.9988	-32.00	-40.00	-0.00	-0.00	0
90	1	0.9972	-32.00	-40.00	0.00	-0.00	0
90	2	0.8110	17.19	0.10	2.76	1.06	0
90	3	0.3955	37.56	0.14	2.39	0.96	0
91	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
91	1	0.9964	-32.00	-40.00	0.00	-0.00	0
91	2	0.7968	17.16	0.11	2.81	1.09	0
91	3	0.3372	38.53	0.19	2.37	0.96	0
92	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
92	1	0.7792	16.85	0.10	2.73	1.06	0
92	2	0.3558	38.52	0.17	2.38	0.95	0
93	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
93	1	0.9967	-32.00	-40.00	-0.00	-0.00	0
93	2	0.8291	16.70	0.09	2.81	1.08	0
93	3	0.3207	38.55	0.25	2.38	0.95	0
94	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
94	1	0.9967	-32.00	-40.00	0.00	-0.00	0
94	2	0.9959	-32.00	-40.00	-0.00	-0.00	0
94	3	0.8733	16.47	0.13	2.74	1.06	0
94	4	0.3479	34.53	0.16	2.50	1.00	0
94	5	0.3330	38.54	0.27	2.37	0.96	0
95	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
95	1	0.7945	17.20	0.18	2.81	1.09	0
95	2	0.3232	34.57	0.16	2.53	1.00	0
95	3	0.3038	39.54	0.38	2.35	0.96	0
96	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
96	1	0.9967	-32.00	-40.00	0.00	-0.00	0
96	2	0.9965	-32.00	-40.00	-0.00	-0.00	0
96	3	0.8785	17.28	0.22	2.80	1.09	0
96	4	0.3216	39.53	0.35	2.36	0.95	0
97	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
97	1	0.9975	-32.00	-40.00	0.00	-0.00	0
97	2	0.8828	17.31	0.20	2.81	1.10	0
97	3	0.3949	39.52	0.35	2.36	0.96	0
98	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
98	1	0.8906	17.31	0.19	2.81	1.10	0
98	2	0.3393	40.52	0.37	2.36	0.97	0
99	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
99	1	0.8900	17.34	0.19	2.81	1.10	0
99	2	0.3828	40.51	0.36	2.36	0.96	0
99	3	0.3289	36.51	0.26	2.49	1.00	0
100	0	0.9973	-32.00	-40.00	-0.00	-0.00	0
100	1	0.9972	-32.00	-40.00	0.00	-0.00	0
