stem,conf_clean,cls_clean,conf_patched,cls_patched,leader_visible_clean,leader_visible_patched
000568,0.4308468997478485,truck,0.0,,True,False
000571,0.8294081091880798,truck,0.8021031618118286,truck,True,True
000572,0.3283948004245758,truck,0.0,,True,False
000574,0.7839091420173645,truck,0.6387938857078552,truck,True,True
000582,0.32280775904655457,truck,0.0,,True,False
000590,0.38727545738220215,bus,0.0,,True,False
000595,0.7853598594665527,truck,0.6507599353790283,truck,True,True
000597,0.6978148818016052,truck,0.6010167002677917,bus,True,True
000600,0.6020629405975342,truck,0.723291277885437,bus,True,True
000603,0.39330607652664185,truck,0.0,,True,False
000605,0.5319766402244568,bus,0.7066532373428345,bus,True,True
000611,0.5710245966911316,bus,0.8081584572792053,bus,True,True
000612,0.7524729371070862,truck,0.5427466034889221,truck,True,True
000618,0.4950996935367584,truck,0.8302028775215149,bus,True,True
000625,0.7751109600067139,truck,0.6913211345672607,car,True,True
000632,0.0,,0.0,,False,False
000654,0.0,,0.0,,False,False
000657,0.526454746723175,bus,0.7428461909294128,bus,True,True
000661,0.8650094270706177,truck,0.8955729603767395,truck,True,True
000663,0.2528374195098877,bus,0.0,,True,False
000668,0.7033447027206421,bus,0.6549925804138184,bus,True,True
000680,0.0,,0.0,,False,False
000684,0.7934620976448059,truck,0.7597522139549255,truck,True,True
000688,0.8160178661346436,truck,0.7863759994506836,truck,True,True
000694,0.33837682008743286,truck,0.5678956508636475,car,True,True
000698,0.6936529278755188,car,0.5565942525863647,car,True,True
000702,0.7169522643089294,truck,0.7187249064445496,truck,True,True
000720,0.3826024532318115,car,0.46851682662963867,car,True,True
000721,0.6817058324813843,truck,0.5679382681846619,truck,True,True
000723,0.5876767039299011,truck,0.5302165746688843,bus,True,True
000729,0.2869180142879486,truck,0.3484504818916321,truck,True,True
000742,0.5242500305175781,truck,0.3088197112083435,truck,True,True
000752,0.0,,0.0,,False,False
000755,0.9072034358978271,bus,0.9114271998405457,bus,True,True
000759,0.8783063292503357,truck,0.6039580702781677,truck,True,True
000761,0.7054914236068726,bus,0.8681005835533142,bus,True,True
000766,0.5837392210960388,bus,0.6181748509407043,truck,True,True
000768,0.7499804496765137,truck,0.5084899663925171,bus,True,True
000769,0.0,,0.0,,False,False
000772,0.2657743990421295,car,0.293454110622406,car,True,True
000781,0.8182969093322754,truck,0.7200565338134766,truck,True,True
000796,0.0,,0.0,,False,False
000801,0.6576380729675293,truck,0.5615031719207764,truck,True,True
000803,0.33458349108695984,truck,0.0,,True,False
000805,0.2958378791809082,truck,0.3104046583175659,bus,True,True
000808,0.6231080889701843,truck,0.0,,True,False
000813,0.7057037949562073,truck,0.49066171050071716,bus,True,True
000814,0.5182973742485046,truck,0.4660343527793884,car,True,True
000820,0.7814070582389832,car,0.8121657967567444,car,True,True
000822,0.6274424195289612,truck,0.560234785079956,bus,True,True
000829,0.0,,0.0,,False,False
000833,0.47770121693611145,truck,0.4049118161201477,truck,True,True
000838,0.0,,0.0,,False,False
000842,0.6670538783073425,car,0.6164973378181458,car,True,True
000843,0.7736256718635559,truck,0.4408152401447296,truck,True,True
000852,0.0,,0.0,,False,False
000858,0.7379423379898071,car,0.7311431169509888,car,True,True
000864,0.4644854962825775,truck,0.4943864047527313,bus,True,True
000867,0.5617499351501465,car,0.2515096068382263,car,True,True
000870,0.44495996832847595,truck,0.2866567373275757,bus,True,True
000871,0.6175738573074341,truck,0.6534672975540161,bus,True,True
000884,0.5452885627746582,truck,0.4868372976779938,truck,True,True
000902,0.2637532651424408,car,0.0,,True,False
000922,0.0,,0.34957000613212585,bus,False,True
000924,0.834628164768219,truck,0.8915510177612305,truck,True,True
000925,0.5486794114112854,bus,0.6581242084503174,bus,True,True
000926,0.5079367756843567,truck,0.5305020809173584,truck,True,True
000928,0.4400446116924286,bus,0.6081437468528748,bus,True,True
000930,0.0,,0.0,,False,False
000943,0.8245129585266113,car,0.8194838762283325,car,True,True
000947,0.268655389547348,bus,0.0,,True,False
000948,0.41063717007637024,truck,0.0,,True,False
000951,0.27307793498039246,truck,0.0,,True,False
000956,0.6669754981994629,car,0.6013196706771851,car,True,True
000959,0.26322323083877563,truck,0.0,,True,False
000961,0.292001873254776,truck,0.0,,True,False
000963,0.0,,0.0,,False,False
000969,0.0,,0.3741893470287323,car,False,True
000970,0.40714165568351746,truck,0.0,,True,False
000972,0.5032663345336914,bus,0.40757861733436584,bus,True,True
000974,0.718163013458252,car,0.7137566804885864,car,True,True
000976,0.0,,0.0,,False,False
000980,0.2545565664768219,bus,0.0,,True,False
000988,0.7078154683113098,truck,0.5254727602005005,bus,True,True
000989,0.0,,0.0,,False,False
000990,0.30292508006095886,bus,0.41000398993492126,bus,True,True
001002,0.0,,0.0,,False,False
001007,0.0,,0.0,,False,False
001013,0.3173142969608307,truck,0.0,,True,False
001017,0.0,,0.0,,False,False
001020,0.7928008437156677,car,0.7903454303741455,car,True,True
001021,0.4019654095172882,truck,0.0,,True,False
001022,0.39269885420799255,truck,0.2508254945278168,truck,True,True
001030,0.3649536967277527,bus,0.5441809296607971,car,True,True
001032,0.0,,0.0,,False,False
001034,0.441276490688324,truck,0.31583693623542786,truck,True,True
001051,0.6963024735450745,truck,0.536949634552002,truck,True,True
001053,0.0,,0.0,,False,False
001055,0.0,,0.0,,False,False
001056,0.31161460280418396,truck,0.41199958324432373,truck,True,True
001059,0.43670105934143066,truck,0.0,,True,False
001060,0.0,,0.0,,False,False
001065,0.8634957075119019,car,0.8567675948143005,car,True,True
001066,0.0,,0.0,,False,False
001075,0.0,,0.0,,False,False
001080,0.36986878514289856,bus,0.0,,True,False
001081,0.3108943700790405,truck,0.0,,True,False
001082,0.7443414330482483,truck,0.7478361129760742,truck,True,True
001086,0.0,,0.0,,False,False
001100,0.898693859577179,truck,0.7925257086753845,truck,True,True
001104,0.0,,0.0,,False,False
001108,0.8074600696563721,truck,0.7122974991798401,truck,True,True
001109,0.5715938210487366,truck,0.6399632692337036,truck,True,True
001114,0.0,,0.0,,False,False
001121,0.4498865604400635,truck,0.28575289249420166,car,True,True
001125,0.6933452486991882,truck,0.41630297899246216,bus,True,True
001129,0.7250492572784424,truck,0.7810866236686707,truck,True,True
001139,0.0,,0.0,,False,False
001142,0.8722646236419678,truck,0.7093889117240906,truck,True,True
001150,0.0,,0.0,,False,False
001156,0.7613807320594788,car,0.742628276348114,car,True,True
001160,0.0,,0.0,,False,False
001176,0.3945808708667755,truck,0.43344250321388245,bus,True,True
001179,0.8500626087188721,truck,0.6694165468215942,truck,True,True
001180,0.7562621235847473,truck,0.5896196961402893,truck,True,True
001185,0.5498511791229248,car,0.7772954106330872,car,True,True
001186,0.360562264919281,truck,0.0,,True,False
001191,0.345389187335968,bus,0.0,,True,False
001193,0.6669907569885254,truck,0.0,,True,False
001197,0.0,,0.0,,False,False
001207,0.0,,0.0,,False,False
001220,0.6269897818565369,bus,0.6870169639587402,bus,True,True
001221,0.5772926807403564,car,0.5679370760917664,car,True,True
001222,0.4725603759288788,car,0.295105516910553,car,True,True
001226,0.6421884298324585,truck,0.5484016537666321,bus,True,True
001233,0.8405529260635376,truck,0.5069838166236877,bus,True,True
001234,0.4524497389793396,truck,0.3832055330276489,bus,True,True
001237,0.0,,0.0,,False,False
001250,0.7365899085998535,truck,0.6528457403182983,truck,True,True
001257,0.0,,0.0,,False,False
001259,0.8804001212120056,truck,0.8219773769378662,truck,True,True
001263,0.0,,0.0,,False,False
001266,0.3702033758163452,bus,0.3506675660610199,truck,True,True
001278,0.7310788035392761,truck,0.7459888458251953,truck,True,True
001281,0.4701288640499115,bus,0.6997188925743103,bus,True,True
001286,0.9234620332717896,car,0.8539888858795166,bus,True,True
001292,0.0,,0.0,,False,False
001302,0.7069056034088135,truck,0.5514920949935913,truck,True,True
001308,0.699272096157074,truck,0.7046595215797424,truck,True,True
001312,0.7076418995857239,truck,0.48935502767562866,truck,True,True
001315,0.8037938475608826,truck,0.8327349424362183,bus,True,True
001320,0.482820600271225,truck,0.4265459477901459,truck,True,True
001323,0.0,,0.0,,False,False
001335,0.6909850239753723,truck,0.6757811307907104,car,True,True
001340,0.0,,0.0,,False,False
001348,0.5193127989768982,truck,0.4288371205329895,truck,True,True
001353,0.8494153022766113,truck,0.8825547695159912,truck,True,True
001357,0.8276247382164001,truck,0.7333819270133972,truck,True,True
001377,0.0,,0.0,,False,False
001384,0.5780530571937561,car,0.5425461530685425,car,True,True
001391,0.7402963638305664,truck,0.7873370051383972,bus,True,True
001396,0.48354315757751465,truck,0.7209645509719849,truck,True,True
001397,0.3533089756965637,car,0.3344314992427826,car,True,True
001398,0.745868444442749,truck,0.8672990798950195,truck,True,True
001401,0.8708838820457458,truck,0.7798285484313965,truck,True,True
001404,0.8321033120155334,car,0.815199613571167,car,True,True
001405,0.5531210899353027,truck,0.31937527656555176,truck,True,True
001412,0.9147104024887085,truck,0.857926070690155,truck,True,True
001415,0.70327228307724,truck,0.0,,True,False
001419,0.5506491661071777,car,0.5473638772964478,car,True,True
001430,0.7526801228523254,truck,0.6766764521598816,truck,True,True
001433,0.6594754457473755,car,0.7190531492233276,car,True,True
001449,0.0,,0.0,,False,False
001451,0.7426271438598633,truck,0.850601077079773,truck,True,True
001452,0.6330797672271729,car,0.6231410503387451,car,True,True
001454,0.3934623897075653,truck,0.307094544172287,truck,True,True
001459,0.0,,0.0,,False,False
001464,0.3995770812034607,car,0.37256449460983276,car,True,True
001468,0.0,,0.0,,False,False
001472,0.8070656657218933,truck,0.7303535342216492,truck,True,True
001475,0.6489273309707642,truck,0.6505184173583984,bus,True,True
001479,0.3770793378353119,truck,0.3328593075275421,truck,True,True
001491,0.6481473445892334,truck,0.7863023281097412,truck,True,True
001492,0.4430525004863739,truck,0.0,,True,False
001500,0.6606213450431824,truck,0.48298609256744385,bus,True,True
001504,0.8282783627510071,truck,0.7170501947402954,truck,True,True
001508,0.0,,0.0,,False,False
001510,0.7813616991043091,truck,0.6352509260177612,bus,True,True
001526,0.6047331690788269,truck,0.6110889911651611,bus,True,True
001527,0.39797547459602356,truck,0.0,,True,False
001532,0.4328170716762543,bus,0.0,,True,False
001537,0.4220539629459381,car,0.3767458498477936,car,True,True
001545,0.7890875339508057,truck,0.45548197627067566,truck,True,True
001552,0.6974970698356628,car,0.6427391171455383,car,True,True
001561,0.8429194688796997,truck,0.7619320750236511,truck,True,True
001569,0.8719850778579712,truck,0.7869621515274048,truck,True,True
001573,0.0,,0.0,,False,False
001574,0.7155717015266418,car,0.7637975215911865,bus,True,True
001582,0.4629111886024475,truck,0.0,,True,False
001584,0.0,,0.0,,False,False
001588,0.5751401782035828,truck,0.435889333486557,truck,True,True
001589,0.43749091029167175,truck,0.0,,True,False
001592,0.7005363702774048,bus,0.6518300771713257,bus,True,True
001594,0.5404734015464783,truck,0.5509634613990784,bus,True,True
001595,0.0,,0.0,,False,False
001599,0.5911616683006287,truck,0.6224698424339294,bus,True,True
001600,0.4780498147010803,truck,0.0,,True,False
001601,0.6313024163246155,truck,0.4870617389678955,bus,True,True
001605,0.5768564939498901,truck,0.7960519790649414,bus,True,True
001607,0.7271711230278015,truck,0.6293132901191711,truck,True,True
001608,0.7897137999534607,truck,0.7619426250457764,truck,True,True
001614,0.5271175503730774,truck,0.507124662399292,truck,True,True
001621,0.8913372159004211,car,0.9057559370994568,car,True,True
001624,0.31791308522224426,bus,0.6227560043334961,bus,True,True
001634,0.5809987783432007,truck,0.5764080882072449,bus,True,True
001637,0.5186263918876648,truck,0.35427987575531006,bus,True,True
001639,0.7473813891410828,truck,0.264641672372818,bus,True,True
001651,0.0,,0.0,,False,False
001666,0.41110509634017944,truck,0.3338547646999359,truck,True,True
001670,0.0,,0.0,,False,False
001682,0.453997403383255,truck,0.3483143150806427,bus,True,True
001684,0.7199782729148865,car,0.6952046751976013,car,True,True
001689,0.858820915222168,car,0.8626217246055603,car,True,True
001695,0.7930738925933838,truck,0.48821693658828735,truck,True,True
001699,0.32347169518470764,truck,0.0,,True,False
001701,0.0,,0.0,,False,False
001702,0.556842565536499,car,0.4845811128616333,car,True,True
001703,0.780921220779419,car,0.7629698514938354,car,True,True
001708,0.0,,0.0,,False,False
001709,0.6806087493896484,car,0.8458644151687622,car,True,True
001710,0.5869131684303284,truck,0.4700291156768799,truck,True,True
001716,0.6168199777603149,truck,0.6307435631752014,bus,True,True
001728,0.5690422654151917,car,0.57340407371521,car,True,True
001744,0.7815292477607727,car,0.8131045699119568,car,True,True
001755,0.781637966632843,truck,0.6934517025947571,truck,True,True
001757,0.48397254943847656,truck,0.404287189245224,truck,True,True
001764,0.7030863761901855,truck,0.6036487221717834,truck,True,True
001774,0.4549800753593445,truck,0.33360201120376587,car,True,True
001777,0.6366955637931824,truck,0.6871662139892578,truck,True,True
001782,0.7426011562347412,car,0.7275145649909973,car,True,True
001792,0.0,,0.38557660579681396,bus,False,True
001794,0.415166974067688,truck,0.29989051818847656,bus,True,True
001796,0.0,,0.0,,False,False
001806,0.0,,0.0,,False,False
001807,0.7078601121902466,truck,0.5395116209983826,truck,True,True
001810,0.0,,0.0,,False,False
001811,0.6403988599777222,car,0.6141011118888855,car,True,True
001831,0.3978744447231293,truck,0.4948544204235077,bus,True,True
001839,0.0,,0.0,,False,False
001840,0.6285982131958008,truck,0.5574018359184265,bus,True,True
