step	score	x	y	w	h	class
213	0.8443	27.31	-0.10	2.80	1.08	0
214	0.7655	27.24	0.06	2.82	1.09	0
215	0.7964	27.24	0.08	2.82	1.09	0
216	0.7688	26.78	0.08	2.82	1.08	0
217	0.8548	26.55	0.11	2.71	1.06	0
218	0.8365	26.68	0.11	2.71	1.06	0
219	0.8173	26.70	0.11	2.72	1.06	0
220	0.8415	26.54	0.12	2.72	1.06	0
221	0.7831	26.32	0.11	2.73	1.06	0
222	0.7599	25.57	0.17	2.79	1.08	0
223	0.7990	25.64	0.08	2.82	1.09	0
224	0.7405	24.77	0.11	2.71	1.06	0
225	0.7261	24.55	0.06	2.84	1.10	0
226	0.7653	23.45	-0.21	1.40	1.62	5
227	0.7492	23.55	-0.08	2.72	1.05	0
228	0.7488	23.37	-0.11	2.82	1.10	0
229	0.7819	22.76	-0.14	2.80	1.08	0
230	0.8157	22.30	-0.13	2.82	1.09	0
231	0.8363	21.36	-0.13	2.79	1.08	0
232	0.7770	20.77	0.08	2.75	1.07	0
233	0.8166	20.40	0.12	2.82	1.09	0
234	0.7756	19.69	0.06	2.83	1.10	0
235	0.7384	19.26	0.24	2.82	1.10	0
236	0.7886	18.47	0.09	2.82	1.10	0
237	0.8324	18.33	0.13	1.21	1.50	5
238	0.8420	17.40	-0.04	1.23	1.53	5
239	0.8194	17.42	0.08	2.85	1.11	0
240	0.7897	16.74	0.10	2.86	1.11	0
241	0.8252	16.41	0.08	2.86	1.11	0
242	0.7649	16.33	0.09	2.75	1.07	0
243	0.7480	15.83	0.07	2.86	1.11	0
244	0.8203	15.58	0.07	2.87	1.11	0
245	0.8344	15.39	0.08	2.87	1.12	0
246	0.7665	15.21	0.08	2.87	1.12	0
247	0.7847	14.73	0.05	2.83	1.10	0
248	0.7923	14.50	-0.06	2.84	1.11	0
249	0.7499	14.20	-0.08	2.86	1.11	0
250	0.8145	13.81	-0.10	2.84	1.10	0
251	0.8660	13.59	-0.09	2.86	1.11	0
252	0.8521	13.34	0.09	2.83	1.09	0
253	0.7776	12.90	0.13	2.80	1.08	0
254	0.8888	12.59	0.17	2.82	1.09	0
255	0.8596	12.32	0.16	2.74	1.08	0
256	0.8235	12.20	0.19	2.78	1.09	0
257	0.8737	11.80	0.19	2.79	1.08	0
258	0.8837	11.49	0.15	2.79	1.08	0
259	0.8105	11.35	0.16	2.78	1.08	0
260	0.7741	11.17	0.12	2.76	1.06	0
261	0.7723	10.85	0.13	2.80	1.10	0
262	0.7588	11.13	0.11	2.74	1.06	0
263	0.8069	10.84	0.11	2.72	1.06	0
264	0.7828	10.87	0.10	2.82	1.09	0
265	0.7555	11.13	0.09	2.74	1.06	0
266	0.7426	11.13	0.10	2.74	1.06	0
267	0.7485	10.91	0.09	2.81	1.09	0
268	0.8642	10.75	0.08	2.81	1.09	0
269	0.8465	10.59	0.09	2.80	1.09	0
270	0.8471	10.30	0.09	2.77	1.08	0
271	0.8246	10.55	0.14	2.76	1.08	0
272	0.8404	10.25	0.08	2.78	1.08	0
273	0.7941	10.37	0.12	2.72	1.06	0
274	0.8110	9.84	0.12	2.79	1.09	0
275	0.8203	9.81	0.12	2.79	1.09	0
276	0.7824	9.73	0.12	2.77	1.08	0
277	0.7908	9.70	0.13	2.79	1.09	0
278	0.8244	9.75	0.11	2.80	1.09	0
279	0.8261	9.75	0.11	2.80	1.09	0
280	0.8177	9.70	0.10	2.78	1.09	0
281	0.8193	9.76	0.11	2.79	1.09	0
282	0.8220	9.78	0.10	2.78	1.08	0
283	0.8207	9.78	0.10	2.77	1.08	0
284	0.8004	9.75	0.10	2.76	1.08	0
285	0.8031	9.78	0.07	2.77	1.08	0
286	0.8218	9.74	0.07	2.78	1.08	0
287	0.8107	9.76	0.07	2.78	1.08	0
288	0.7948	9.75	0.07	2.79	1.09	0
289	0.7755	9.76	-0.10	2.88	1.11	0
290	0.7996	9.74	-0.11	2.88	1.11	0
291	0.7827	9.72	0.07	2.73	1.07	0
292	0.7802	9.76	-0.11	2.88	1.11	0
293	0.7961	9.70	0.07	2.77	1.08	0
294	0.8197	9.66	0.08	2.78	1.08	0
295	0.8194	9.68	-0.15	2.90	1.11	0
296	0.8110	9.70	-0.15	2.90	1.11	0
297	0.8136	9.70	-0.15	2.90	1.11	0
298	0.8385	9.69	-0.16	2.90	1.11	0
299	0.8371	9.68	-0.15	2.90	1.11	0
