step	idx	score	x	y	w	h	class
104	2	0.8884	20.46	0.26	2.77	1.07	0
105	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
105	1	0.9955	-32.00	-40.00	-0.00	-0.00	0
105	2	0.8066	19.82	0.10	2.77	1.07	0
106	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
106	1	0.8347	20.73	-0.52	2.76	1.07	0
107	0	0.9977	-32.00	-40.00	-0.00	-0.00	0
107	1	0.8325	20.67	-1.19	2.76	1.07	0
108	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
108	1	0.8586	20.60	-1.64	2.81	1.09	0
109	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
109	1	0.8178	20.70	-2.22	2.79	1.08	0
110	0	0.9967	-32.00	-40.00	0.00	-0.00	0
110	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
110	2	0.8342	20.46	-2.80	2.81	1.09	0
110	3	0.4345	62.31	-39.40	2.41	0.99	0
110	4	0.3106	63.81	-29.51	2.51	1.03	0
111	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
111	1	0.8691	20.48	-3.38	2.81	1.09	0
112	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
112	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
112	2	0.9948	-32.00	-40.00	0.00	-0.00	0
112	3	0.8453	20.35	-3.79	2.80	1.08	0
113	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
113	1	0.9959	-32.00	-40.00	-0.00	-0.00	0
113	2	0.9953	-32.00	-40.00	-0.00	-0.00	0
113	3	0.8856	20.43	-4.24	2.83	1.10	0
114	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
114	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
114	2	0.9956	-32.00	-40.00	-0.00	-0.00	0
114	3	0.8724	20.39	-4.15	2.78	1.08	0
115	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
115	1	0.9944	-32.00	-40.00	-0.00	-0.00	0
115	2	0.8869	20.52	-3.51	2.78	1.07	0
116	0	0.9960	-32.00	-40.00	-0.00	-0.00	0
116	1	0.9953	-32.00	-40.00	0.00	-0.00	0
116	2	0.9950	-32.00	-40.00	0.00	-0.00	0
116	3	0.8876	20.66	-2.58	2.80	1.07	0
117	0	0.9962	-32.00	-40.00	-0.00	-0.00	0
117	1	0.9958	-32.00	-40.00	0.00	-0.00	0
117	2	0.9048	20.68	-1.75	2.82	1.09	0
117	3	0.3702	63.63	-33.50	2.50	1.04	0
118	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
118	1	0.9961	-32.00	-40.00	0.00	-0.00	0
118	2	0.9954	-32.00	-40.00	-0.00	-0.00	0
118	3	0.8903	20.65	-0.70	2.74	1.06	0
119	0	0.9960	-32.00	-40.00	0.00	-0.00	0
119	1	0.8547	20.55	0.45	2.82	1.09	0
120	0	0.9960	-32.00	-40.00	-0.00	-0.00	0
120	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
120	2	0.8084	20.63	1.74	2.80	1.09	0
121	0	0.9960	-32.00	-40.00	-0.00	-0.00	0
121	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
121	2	0.8037	20.76	2.32	2.78	1.08	0
122	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
122	1	0.9957	-32.00	-40.00	-0.00	-0.00	0
122	2	0.8386	20.75	2.49	2.76	1.07	0
123	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
123	1	0.9959	-32.00	-40.00	-0.00	-0.00	0
123	2	0.8131	20.81	2.28	2.76	1.07	0
124	0	0.9962	-32.00	-40.00	-0.00	-0.00	0
124	1	0.9949	-32.00	-40.00	-0.00	-0.00	0
124	2	0.9948	-32.00	-40.00	-0.00	-0.00	0
124	3	0.7810	20.75	1.80	2.77	1.07	0
125	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
125	1	0.9970	-32.00	-40.00	0.00	-0.00	0
125	2	0.8368	21.28	1.25	2.84	1.10	0
126	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
126	1	0.9975	-32.00	-40.00	0.00	-0.00	0
126	2	0.8349	20.73	0.53	2.80	1.09	0
127	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
127	1	0.9978	-32.00	-40.00	-0.00	-0.00	0
127	2	0.8743	20.66	0.23	2.78	1.08	0
127	3	0.3328	59.33	2.54	2.48	1.02	0
128	0	0.9972	-32.00	-40.00	-0.00	-0.00	0
128	1	0.9969	-32.00	-40.00	-0.00	-0.00	0
128	2	0.8504	20.68	-0.23	2.79	1.08	0
128	3	0.4338	58.72	2.52	2.64	1.07	0
129	0	0.9960	-32.00	-40.00	-0.00	-0.00	0
129	1	0.9959	-32.00	-40.00	0.00	-0.00	0
129	2	0.9947	-32.00	-40.00	-0.00	-0.00	0
129	3	0.7901	20.80	-0.22	2.79	1.08	0
129	4	0.3063	59.46	0.68	2.53	1.03	0
130	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
130	1	0.9950	-32.00	-40.00	-0.00	-0.00	0
130	2	0.7913	21.17	0.18	2.82	1.09	0
